transaction_id,customer_id,transaction_date,amount,merchant_id,merchant_category,payment_method,device_type,device_id,ip_address,transaction_country,chargeback,is_fraud,customer_name,age,account_age_days,home_country,email_domain,is_vip,high_amount_flag,cross_border_flag,late_night_flag,new_account_flag,high_risk_merchant_flag,risk_score,risk_level
1,287,2025-06-25 01:05:55,104.28,MER-933,fashion,debit_card,tablet,DEV-4744,8.122.104.93,MX,1,1,Antony Carvalho,51,323,BR,outlook.com,0,0,1,1,0,0,40,high
2,242,2025-08-04 16:08:39,58.88,MER-584,marketplace,bank_transfer,mobile,DEV-3450,178.91.200.47,US,0,0,Bruna Costa,22,3399,US,hotmail.com,0,0,0,0,0,0,0,low
3,181,2025-06-13 16:51:26,119.45,MER-837,pharmacy,debit_card,tablet,DEV-9748,164.37.25.88,CL,0,0,Maria Eduarda da Paz,21,769,BR,yahoo.com,1,0,1,0,0,0,25,medium
4,499,2025-04-27 12:31:16,262.62,MER-161,travel,credit_card,desktop,DEV-3676,173.105.30.6,BR,1,1,Thomas Nascimento,28,3002,US,hotmail.com,0,0,1,0,0,0,25,medium
5,860,2025-09-02 14:44:28,54.02,MER-469,gaming,bank_transfer,tablet,DEV-5256,177.222.13.25,AR,0,0,Benjamin Novaes,43,1405,AR,yahoo.com,0,0,0,0,0,1,10,low
6,571,2025-12-28 21:25:15,54.02,MER-459,travel,pix,mobile,DEV-2986,165.126.139.47,PY,0,0,Dr. Mathias da Rocha,30,1875,BR,yahoo.com,0,0,1,0,0,0,25,medium
7,987,2025-08-24 04:22:39,276.25,MER-789,food,debit_card,desktop,DEV-6326,85.29.85.186,AR,0,0,Sophia Cavalcanti,55,3531,BR,gmail.com,0,0,1,1,0,0,40,high
8,794,2025-10-14 00:55:17,133.05,MER-574,pharmacy,credit_card,desktop,DEV-5694,91.202.16.171,CL,0,0,Isabella Sampaio,48,1571,BR,hotmail.com,0,0,1,1,0,0,40,high
9,149,2025-12-04 04:44:52,43.71,MER-969,fashion,pix,desktop,DEV-7631,62.225.250.189,MX,0,0,João Pedro Vasconcelos,30,887,US,outlook.com,0,0,1,1,0,0,40,high
10,82,2025-03-04 21:56:40,108.67,MER-827,digital_services,debit_card,desktop,DEV-5773,26.63.197.19,AR,0,0,Davi Miguel Gonçalves,37,3361,US,hotmail.com,0,0,1,0,0,1,35,medium
